service_id,date,exception_type
20190405,20190405,1
20190404,20190404,1
20190403,20190403,1
20190402,20190402,1
20190401,20190401,1
20190331,20190331,1
20190330,20190330,1
20190329,20190329,1
20190328,20190328,1
20190327,20190327,1
20190326,20190326,1
20190325,20190325,1
20190324,20190324,1
20190323,20190323,1
20190322,20190322,1
20190321,20190321,1
20190320,20190320,1
20190319,20190319,1
20190318,20190318,1
20190317,20190317,1
20190316,20190316,1
20190315,20190315,1
20190314,20190314,1
20190313,20190313,1
20190312,20190312,1
20190311,20190311,1
20190310,20190310,1
20190309,20190309,1
20190308,20190308,1
20190307,20190307,1
20190306,20190306,1
20190305,20190305,1
20190304,20190304,1
20190303,20190303,1
20190302,20190302,1
20190301,20190301,1
20190228,20190228,1
20190227,20190227,1
20190226,20190226,1
20190225,20190225,1
20190224,20190224,1
20190223,20190223,1
20190222,20190222,1
20190221,20190221,1
20190220,20190220,1
20190219,20190219,1
20190218,20190218,1
20190217,20190217,1
20190216,20190216,1
20190215,20190215,1
20190214,20190214,1
20190213,20190213,1
20190212,20190212,1
20190211,20190211,1
20190210,20190210,1
20190209,20190209,1
20190208,20190208,1
20190207,20190207,1
20190206,20190206,1
20190205,20190205,1
20190204,20190204,1
20190203,20190203,1
20190202,20190202,1
20190201,20190201,1
20190131,20190131,1
20190130,20190130,1
20190129,20190129,1
20190128,20190128,1
20190127,20190127,1
20190126,20190126,1
20190125,20190125,1
20190124,20190124,1
20190123,20190123,1
20190122,20190122,1
20190121,20190121,1
20190120,20190120,1
20190119,20190119,1
20190118,20190118,1
20190117,20190117,1
20190116,20190116,1
20190115,20190115,1
20190114,20190114,1
20190113,20190113,1
20190112,20190112,1
20190111,20190111,1
20190110,20190110,1
20190109,20190109,1
20190108,20190108,1
20190107,20190107,1
20190106,20190106,1
20190105,20190105,1
20190103,20190103,1
20190102,20190102,1
20181230,20181230,1
20181229,20181229,1
20181227,20181227,1
20181225,20181225,1
20181223,20181223,1
20190104,20190104,1
20190101,20190101,1
20181231,20181231,1
20181228,20181228,1
20181226,20181226,1
20181224,20181224,1
